URW,EURONEXT - EURONEXT PARIS
AYGAZ.E,BORSA ISTANBUL - EQUITY MARKET
BLV,EURONEXT - EURONEXT PARIS
IGG,LONDON STOCK EXCHANGE
N91,LONDON STOCK EXCHANGE
FUR,EURONEXT - EURONEXT AMSTERDAM
BRISA.E,BORSA ISTANBUL - EQUITY MARKET
GMAB,NASDAQ COPENHAGEN A/S
CCL,LONDON STOCK EXCHANGE
PETS,LONDON STOCK EXCHANGE
IFCN,SIX SWISS EXCHANGE
ARN,ELECTRONIC SHARE MARKET
SGKN,SIX SWISS EXCHANGE
FLTR,LONDON STOCK EXCHANGE
AF,EURONEXT - EURONEXT PARIS
MOEX,MOSCOW EXCHANGE - ALL MARKETS
EQT,NASDAQ STOCKHOLM AB
WIZZ,LONDON STOCK EXCHANGE
FAN,LONDON STOCK EXCHANGE
DLG,LONDON STOCK EXCHANGE
BPT,LONDON STOCK EXCHANGE
BAER,SIX SWISS EXCHANGE
DOCS,LONDON STOCK EXCHANGE
LPP,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
FRA,XETRA
DEC,EURONEXT - EURONEXT PARIS
TLX,XETRA
GTT,EURONEXT - EURONEXT PARIS
IDL,EURONEXT - EURONEXT PARIS
OSSR,NASDAQ COPENHAGEN A/S
BYIT,LONDON STOCK EXCHANGE
SNP,SPOT REGULATED MARKET - BVB
NEOEN,EURONEXT - EURONEXT PARIS
JMT,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL
INDV,LONDON STOCK EXCHANGE
SWED A,NASDAQ STOCKHOLM AB
DARK,LONDON STOCK EXCHANGE
WISE,LONDON STOCK EXCHANGE
FPAR A,NASDAQ STOCKHOLM AB
BCG,LONDON STOCK EXCHANGE
AUTO,LONDON STOCK EXCHANGE
ENG,BOLSA DE MADRID
MONET,PRAGUE STOCK EXCHANGE
MFEB,ELECTRONIC SHARE MARKET
ALLEI,NASDAQ STOCKHOLM AB
WAWI,OSLO BORS ASA
TURSG.E,BORSA ISTANBUL - EQUITY MARKET
SOON,SIX SWISS EXCHANGE
HBH,XETRA
OCDO,LONDON STOCK EXCHANGE
EPI A,NASDAQ STOCKHOLM AB
ASML,EURONEXT - EURONEXT AMSTERDAM
VMUK,LONDON STOCK EXCHANGE
STM,XETRA
DOFG,OSLO BORS ASA
RACE,ELECTRONIC SHARE MARKET
GVS,ELECTRONIC SHARE MARKET
DNB,OSLO BORS ASA
SHUR,EURONEXT - EURONEXT BRUSSELS
SDZ,SIX SWISS EXCHANGE
DEMANT,NASDAQ COPENHAGEN A/S
MANTA,NASDAQ HELSINKI LTD
ABI,EURONEXT - EURONEXT BRUSSELS
NEM,XETRA
CAR,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
KIND SDB,NASDAQ STOCKHOLM AB
TTRAK.E,BORSA ISTANBUL - EQUITY MARKET
ADS,XETRA
FLU,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET)
ADM,LONDON STOCK EXCHANGE
CCC,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
GLPG,EURONEXT - EURONEXT AMSTERDAM
TIP,ELECTRONIC SHARE MARKET
DKSH,SIX SWISS EXCHANGE
SALM,OSLO BORS ASA
TGYM,ELECTRONIC SHARE MARKET
SNN,SPOT REGULATED MARKET - BVB
AVOL,SIX SWISS EXCHANGE
VER,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET)
LOTB,EURONEXT - EURONEXT BRUSSELS
DIE,EURONEXT - EURONEXT BRUSSELS
RWAY,ELECTRONIC SHARE MARKET
SOLB,EURONEXT - EURONEXT BRUSSELS
BMW,XETRA
CBK,XETRA
INDT,NASDAQ STOCKHOLM AB
BFIT,EURONEXT - EURONEXT AMSTERDAM
CON,XETRA
LHA,XETRA
HOT,XETRA
ANIM,ELECTRONIC SHARE MARKET
ENAV,ELECTRONIC SHARE MARKET
SDF,XETRA
MUV2,XETRA
VOW,XETRA
BBVA,BOLSA DE MADRID
FCC,BOLSA DE MADRID
REP,BOLSA DE MADRID
GFC,EURONEXT - EURONEXT PARIS
LI,EURONEXT - EURONEXT PARIS
LSS,EURONEXT - EURONEXT PARIS
BOL,EURONEXT - EURONEXT PARIS
SGO,EURONEXT - EURONEXT PARIS
VK,EURONEXT - EURONEXT PARIS
UBI,EURONEXT - EURONEXT PARIS
FR,EURONEXT - EURONEXT PARIS
BARC,LONDON STOCK EXCHANGE
BBY,LONDON STOCK EXCHANGE
BT.A,LONDON STOCK EXCHANGE
CHG,LONDON STOCK EXCHANGE
AV.,LONDON STOCK EXCHANGE
ITV,LONDON STOCK EXCHANGE
EXPN,LONDON STOCK EXCHANGE
GRG,LONDON STOCK EXCHANGE
PFV,XETRA
LGEN,LONDON STOCK EXCHANGE
MKS,LONDON STOCK EXCHANGE
RAT,LONDON STOCK EXCHANGE
ETL,EURONEXT - EURONEXT PARIS
GVOLT,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL
RR.,LONDON STOCK EXCHANGE
ROR,LONDON STOCK EXCHANGE
MGNS,LONDON STOCK EXCHANGE
